type,indicator,app
domain,1ca43.appspot.com,TheTruthSpy
domain,app.fonetracker.com,TheTruthSpy
domain,app.mobiletracking.app,TheTruthSpy
domain,copy9.com,TheTruthSpy
domain,guestspy.com,TheTruthSpy
domain,icloudappe.com,TheTruthSpy
domain,media-sync-a.copy9.com,TheTruthSpy
domain,media-sync-a.exactspy.com,TheTruthSpy
domain,media-sync-a.fonetracker.com,TheTruthSpy
domain,media-sync-a.ispyoo.com,TheTruthSpy
domain,media-sync-a.thetruthspy.com,TheTruthSpy
domain,media-sync-a100.fonetracker.com,TheTruthSpy
domain,media-sync-a100.thetruthspy.com,TheTruthSpy
domain,media-sync-a600.fonetracker.com,TheTruthSpy
domain,media-sync-a621.fonetracker.com,TheTruthSpy
domain,media-sync-a696.fonetracker.com,TheTruthSpy
domain,media-sync-a710.fonetracker.com,TheTruthSpy
domain,media-sync-a740.thetruthspy.com,TheTruthSpy
domain,media-sync-a743.thetruthspy.com,TheTruthSpy
domain,media-sync-a746.thetruthspy.com,TheTruthSpy
domain,media-sync-a747.thetruthspy.com,TheTruthSpy
domain,media-sync-a748.thetruthspy.com,TheTruthSpy
domain,media-sync-a749.thetruthspy.com,TheTruthSpy
domain,media-sync-a780.fonetracker.com,TheTruthSpy
domain,media-sync-a785.fonetracker.com,TheTruthSpy
domain,media-sync-a7xx.thetruthspy.com,TheTruthSpy
domain,media-sync-a810.thetruthspy.com,TheTruthSpy
domain,media-sync-a820.thetruthspy.com,TheTruthSpy
domain,media-sync-a825.thetruthspy.com,TheTruthSpy
domain,media-sync-a830.thetruthspy.com,TheTruthSpy
domain,media-sync-a835.thetruthspy.com,TheTruthSpy
domain,media-sync-a895.thetruthspy.com,TheTruthSpy
domain,media-sync-a8xx.thetruthspy.com,TheTruthSpy
domain,media-sync-a910.thetruthspy.com,TheTruthSpy
domain,media-sync-a915.thetruthspy.com,TheTruthSpy
domain,media-sync-a920.thetruthspy.com,TheTruthSpy
domain,media-sync-a925.thetruthspy.com,TheTruthSpy
domain,media-sync-a930.thetruthspy.com,TheTruthSpy
domain,media-sync-a935.thetruthspy.com,TheTruthSpy
domain,media-sync-a940.thetruthspy.com,TheTruthSpy
domain,media-sync-a941.thetruthspy.com,TheTruthSpy
domain,media-sync-a942.thetruthspy.com,TheTruthSpy
domain,media-sync.systemserviceprovider.com,TheTruthSpy
domain,media.thetruthspy.com,TheTruthSpy
domain,microtracker-1ca43.firebaseio.com,TheTruthSpy
domain,mxspy.com,TheTruthSpy
domain,my.copy9.com,TheTruthSpy
domain,my.ispyoo.com,TheTruthSpy
domain,my.thetruthspy.com,TheTruthSpy
domain,my.thespyapp.com,TheTruthSpy
domain,phonespying.com,TheTruthSpy
domain,phonetracking.net,TheTruthSpy
domain,protocol-a.copy9.com,TheTruthSpy
domain,protocol-a.exactspy.com,TheTruthSpy
domain,protocol-a.fonetracker.com,TheTruthSpy
domain,protocol-a.guestspy.com,TheTruthSpy
domain,protocol-a.ispyoo.com,TheTruthSpy
domain,protocol-a.mxspy.com,TheTruthSpy
domain,protocol-a.thetruthspy.com,TheTruthSpy
domain,protocol-a100.fonetracker.com,TheTruthSpy
domain,protocol-a100.thetruthspy.com,TheTruthSpy
domain,protocol-a5.guestspy.com,TheTruthSpy
domain,protocol-a58.guestspy.com,TheTruthSpy
domain,protocol-a59.guestspy.com,TheTruthSpy
domain,protocol-a6.thetruthspy.com,TheTruthSpy
domain,protocol-a60.guestspy.com,TheTruthSpy
domain,protocol-a600.fonetracker.com,TheTruthSpy
domain,protocol-a610.copy9.com,TheTruthSpy
domain,protocol-a610.thetruthspy.com,TheTruthSpy
domain,protocol-a611.copy9.com,TheTruthSpy
domain,protocol-a611.thetruthspy.com,TheTruthSpy
domain,protocol-a612.copy9.com,TheTruthSpy
domain,protocol-a614.copy9.com,TheTruthSpy
domain,protocol-a615.copy9.com,TheTruthSpy
domain,protocol-a616.copy9.com,TheTruthSpy
domain,protocol-a617.copy9.com,TheTruthSpy
domain,protocol-a618.copy9.com,TheTruthSpy
domain,protocol-a620.copy9.com,TheTruthSpy
domain,protocol-a621.copy9.com,TheTruthSpy
domain,protocol-a65.guestspy.com,TheTruthSpy
domain,protocol-a69.copy9.com,TheTruthSpy
domain,protocol-a696.copy9.com,TheTruthSpy
domain,protocol-a70.guestspy.com,TheTruthSpy
domain,protocol-a710.copy9.com,TheTruthSpy
domain,protocol-a712.fonetracker.com,TheTruthSpy
domain,protocol-a72.thetruthspy.com,TheTruthSpy
domain,protocol-a720.thetruthspy.com,TheTruthSpy
domain,protocol-a721.thetruthspy.com,TheTruthSpy
domain,protocol-a722.thetruthspy.com,TheTruthSpy
domain,protocol-a723.thetruthspy.com,TheTruthSpy
domain,protocol-a724.thetruthspy.com,TheTruthSpy
domain,protocol-a725.thetruthspy.com,TheTruthSpy
domain,protocol-a726.thetruthspy.com,TheTruthSpy
domain,protocol-a727.thetruthspy.com,TheTruthSpy
domain,protocol-a728.thetruthspy.com,TheTruthSpy
domain,protocol-a729.thetruthspy.com,TheTruthSpy
domain,protocol-a730.thetruthspy.com,TheTruthSpy
domain,protocol-a731.thetruthspy.com,TheTruthSpy
domain,protocol-a732.thetruthspy.com,TheTruthSpy
domain,protocol-a733.thetruthspy.com,TheTruthSpy
domain,protocol-a734.thetruthspy.com,TheTruthSpy
domain,protocol-a735.thetruthspy.com,TheTruthSpy
domain,protocol-a736.thetruthspy.com,TheTruthSpy
domain,protocol-a737.thetruthspy.com,TheTruthSpy
domain,protocol-a738.thetruthspy.com,TheTruthSpy
domain,protocol-a739.thetruthspy.com,TheTruthSpy
domain,protocol-a740.thetruthspy.com,TheTruthSpy
domain,protocol-a741.thetruthspy.com,TheTruthSpy
domain,protocol-a742.thetruthspy.com,TheTruthSpy
domain,protocol-a743.thetruthspy.com,TheTruthSpy
domain,protocol-a744.thetruthspy.com,TheTruthSpy
domain,protocol-a745.mxspy.com,TheTruthSpy
domain,protocol-a745.thetruthspy.com,TheTruthSpy
domain,protocol-a746.thetruthspy.com,TheTruthSpy
